array size,execution time,one call execution times
32768,1196,1196
65536,2096,1091;1005
98304,3101,995;993;1113
131072,5183,984;1180;1398;1621
163840,8506,1864;1771;1640;1614;1617
196608,8241,1686;1592;1406;1213;1162;1182
229376,9022,1550;1269;1260;1264;1208;1243;1228
262144,9732,1327;1176;1171;1161;1168;1304;1204;1221
294912,11238,1223;1249;1209;1207;1204;1193;1334;1410;1209
327680,12106,1387;1198;1174;1185;1182;1178;1194;1204;1201;1203
360448,13282,1210;1180;1179;1201;1176;1203;1182;1378;1198;1187;1188
393216,14456,1160;1372;1188;1173;1169;1165;1163;1170;1174;1206;1191;1325
425984,15802,1306;1256;1181;1190;1169;1166;1199;1185;1190;1200;1194;1198;1368
458752,17367,1149;1387;1198;1174;1200;1206;1255;1285;1203;1233;1417;1246;1222;1192
491520,21018,1396;1314;1328;1397;1413;1498;1437;1260;1242;1478;1662;1293;1425;1347;1528
524288,20464,1619;1271;1343;1233;1353;1269;1328;1504;1221;1174;1169;1177;1218;1187;1204;1194
557056,21422,1188;1196;1162;1174;1188;1180;1227;1299;1410;1245;1544;1317;1273;1188;1204;1351;1276
589824,22702,1378;1185;1205;1266;1212;1213;1188;1244;1379;1322;1223;1469;1247;1245;1261;1228;1203;1234
622592,23762,1459;1198;1183;1192;1187;1220;1239;1206;1265;1236;1234;1375;1332;1212;1292;1228;1234;1224;1246
655360,25321,1246;1525;1217;1401;1225;1188;1208;1384;1312;1285;1307;1225;1230;1480;1178;1189;1180;1166;1179;1196
688128,25568,1414;1203;1191;1269;1185;1180;1191;1179;1174;1180;1235;1195;1400;1217;1209;1186;1195;1192;1197;1193;1183
720896,26457,1255;1201;1177;1195;1193;1186;1181;1170;1182;1186;1238;1420;1212;1185;1186;1186;1192;1174;1174;1187;1173;1204
753664,27814,1189;1229;1355;1211;1177;1184;1169;1179;1177;1176;1422;1229;1188;1188;1191;1197;1177;1183;1191;1178;1182;1207;1235
786432,29132,1177;1196;1179;1176;1171;1187;1213;1185;1189;1425;1256;1290;1210;1185;1193;1180;1183;1192;1372;1241;1187;1190;1180;1175
819200,30533,1162;1434;1196;1183;1208;1200;1191;1194;1187;1189;1186;1236;1234;1254;1450;1209;1194;1195;1189;1193;1193;1199;1192;1197;1268
851968,31588,1211;1195;1191;1205;1193;1194;1185;1184;1180;1179;1191;1422;1242;1195;1188;1184;1184;1183;1183;1186;1195;1194;1184;1252;1231;1457
